p_success_stat,p_success_id,P_help_statistical,P_help_identified,u_saved,cost_stat,cost_id,beta
0.0,0.3,0.07585818002124356,0.3091018656550243,2.0,0.5,0.15,5.0
0.0,0.32875,0.07585818002124356,0.34774880918591533,2.0,0.5,0.15,5.0
0.0,0.3575,0.07585818002124356,0.3929733167101269,2.0,0.5,0.15,5.0
0.0,0.38625,0.07585818002124356,0.44455263748230917,2.0,0.5,0.15,5.0
0.0,0.415,0.07585818002124356,0.5017165401840006,2.0,0.5,0.15,5.0
0.0,0.44375,0.07585818002124356,0.56303084497738,2.0,0.5,0.15,5.0
0.0,0.4725,0.07585818002124356,0.6264063130419393,2.0,0.5,0.15,5.0
0.0,0.50125,0.07585818002124356,0.689285211402123,2.0,0.5,0.15,5.0
0.0,0.53,0.07585818002124356,0.7489968905949634,2.0,0.5,0.15,5.0
0.0,0.55875,0.07585818002124356,0.8031911197483117,2.0,0.5,0.15,5.0
0.0,0.5874999999999999,0.07585818002124356,0.8502065853230385,2.0,0.5,0.15,5.0
0.0,0.61625,0.07585818002124356,0.8892545664382339,2.0,0.5,0.15,5.0
0.0,0.645,0.07585818002124356,0.9203831980839806,2.0,0.5,0.15,5.0
0.0,0.67375,0.07585818002124356,0.9442779491345873,2.0,0.5,0.15,5.0
0.0,0.7024999999999999,0.07585818002124356,0.9619969271857791,2.0,0.5,0.15,5.0
0.0,0.73125,0.07585818002124356,0.9747275229505237,2.0,0.5,0.15,5.0
0.0,0.76,0.07585818002124356,0.9836106815213036,2.0,0.5,0.15,5.0
0.0,0.78875,0.07585818002124356,0.9896407214644687,2.0,0.5,0.15,5.0
0.0,0.8174999999999999,0.07585818002124356,0.9936263169186242,2.0,0.5,0.15,5.0
0.0,0.84625,0.07585818002124356,0.9961915021283869,2.0,0.5,0.15,5.0
0.0,0.875,0.07585818002124356,0.9977979217382319,2.0,0.5,0.15,5.0
0.0,0.90375,0.07585818002124356,0.9987751094487219,2.0,0.5,0.15,5.0
0.0,0.9324999999999999,0.07585818002124356,0.9993509694886633,2.0,0.5,0.15,5.0
0.0,0.9612499999999999,0.07585818002124356,0.9996786778091856,2.0,0.5,0.15,5.0
0.0,0.99,0.07585818002124356,0.9998594760838524,2.0,0.5,0.15,5.0
0.0375,0.3,0.05095178661793095,0.3091018656550243,2.0,0.5,0.15,5.0
0.0375,0.32875,0.05095178661793095,0.34774880918591533,2.0,0.5,0.15,5.0
0.0375,0.3575,0.05095178661793095,0.3929733167101269,2.0,0.5,0.15,5.0
0.0375,0.38625,0.05095178661793095,0.44455263748230917,2.0,0.5,0.15,5.0
0.0375,0.415,0.05095178661793095,0.5017165401840006,2.0,0.5,0.15,5.0
0.0375,0.44375,0.05095178661793095,0.56303084497738,2.0,0.5,0.15,5.0
0.0375,0.4725,0.05095178661793095,0.6264063130419393,2.0,0.5,0.15,5.0
0.0375,0.50125,0.05095178661793095,0.689285211402123,2.0,0.5,0.15,5.0
0.0375,0.53,0.05095178661793095,0.7489968905949634,2.0,0.5,0.15,5.0
0.0375,0.55875,0.05095178661793095,0.8031911197483117,2.0,0.5,0.15,5.0
0.0375,0.5874999999999999,0.05095178661793095,0.8502065853230385,2.0,0.5,0.15,5.0
0.0375,0.61625,0.05095178661793095,0.8892545664382339,2.0,0.5,0.15,5.0
0.0375,0.645,0.05095178661793095,0.9203831980839806,2.0,0.5,0.15,5.0
0.0375,0.67375,0.05095178661793095,0.9442779491345873,2.0,0.5,0.15,5.0
0.0375,0.7024999999999999,0.05095178661793095,0.9619969271857791,2.0,0.5,0.15,5.0
0.0375,0.73125,0.05095178661793095,0.9747275229505237,2.0,0.5,0.15,5.0
0.0375,0.76,0.05095178661793095,0.9836106815213036,2.0,0.5,0.15,5.0
0.0375,0.78875,0.05095178661793095,0.9896407214644687,2.0,0.5,0.15,5.0
0.0375,0.8174999999999999,0.05095178661793095,0.9936263169186242,2.0,0.5,0.15,5.0
0.0375,0.84625,0.05095178661793095,0.9961915021283869,2.0,0.5,0.15,5.0
0.0375,0.875,0.05095178661793095,0.9977979217382319,2.0,0.5,0.15,5.0
0.0375,0.90375,0.05095178661793095,0.9987751094487219,2.0,0.5,0.15,5.0
0.0375,0.9324999999999999,0.05095178661793095,0.9993509694886633,2.0,0.5,0.15,5.0
0.0375,0.9612499999999999,0.05095178661793095,0.9996786778091856,2.0,0.5,0.15,5.0
0.0375,0.99,0.05095178661793095,0.9998594760838524,2.0,0.5,0.15,5.0
0.075,0.3,0.043859131361369166,0.3091018656550243,2.0,0.5,0.15,5.0
0.075,0.32875,0.043859131361369166,0.34774880918591533,2.0,0.5,0.15,5.0
0.075,0.3575,0.043859131361369166,0.3929733167101269,2.0,0.5,0.15,5.0
0.075,0.38625,0.043859131361369166,0.44455263748230917,2.0,0.5,0.15,5.0
0.075,0.415,0.043859131361369166,0.5017165401840006,2.0,0.5,0.15,5.0
0.075,0.44375,0.043859131361369166,0.56303084497738,2.0,0.5,0.15,5.0
0.075,0.4725,0.043859131361369166,0.6264063130419393,2.0,0.5,0.15,5.0
0.075,0.50125,0.043859131361369166,0.689285211402123,2.0,0.5,0.15,5.0
0.075,0.53,0.043859131361369166,0.7489968905949634,2.0,0.5,0.15,5.0
0.075,0.55875,0.043859131361369166,0.8031911197483117,2.0,0.5,0.15,5.0
0.075,0.5874999999999999,0.043859131361369166,0.8502065853230385,2.0,0.5,0.15,5.0
0.075,0.61625,0.043859131361369166,0.8892545664382339,2.0,0.5,0.15,5.0
0.075,0.645,0.043859131361369166,0.9203831980839806,2.0,0.5,0.15,5.0
0.075,0.67375,0.043859131361369166,0.9442779491345873,2.0,0.5,0.15,5.0
0.075,0.7024999999999999,0.043859131361369166,0.9619969271857791,2.0,0.5,0.15,5.0
0.075,0.73125,0.043859131361369166,0.9747275229505237,2.0,0.5,0.15,5.0
0.075,0.76,0.043859131361369166,0.9836106815213036,2.0,0.5,0.15,5.0
0.075,0.78875,0.043859131361369166,0.9896407214644687,2.0,0.5,0.15,5.0
0.075,0.8174999999999999,0.043859131361369166,0.9936263169186242,2.0,0.5,0.15,5.0
0.075,0.84625,0.043859131361369166,0.9961915021283869,2.0,0.5,0.15,5.0
0.075,0.875,0.043859131361369166,0.9977979217382319,2.0,0.5,0.15,5.0
0.075,0.90375,0.043859131361369166,0.9987751094487219,2.0,0.5,0.15,5.0
0.075,0.9324999999999999,0.043859131361369166,0.9993509694886633,2.0,0.5,0.15,5.0
0.075,0.9612499999999999,0.043859131361369166,0.9996786778091856,2.0,0.5,0.15,5.0
0.075,0.99,0.043859131361369166,0.9998594760838524,2.0,0.5,0.15,5.0
0.11249999999999999,0.3,0.041744273731289715,0.3091018656550243,2.0,0.5,0.15,5.0
0.11249999999999999,0.32875,0.041744273731289715,0.34774880918591533,2.0,0.5,0.15,5.0
0.11249999999999999,0.3575,0.041744273731289715,0.3929733167101269,2.0,0.5,0.15,5.0
0.11249999999999999,0.38625,0.041744273731289715,0.44455263748230917,2.0,0.5,0.15,5.0
0.11249999999999999,0.415,0.041744273731289715,0.5017165401840006,2.0,0.5,0.15,5.0
0.11249999999999999,0.44375,0.041744273731289715,0.56303084497738,2.0,0.5,0.15,5.0
0.11249999999999999,0.4725,0.041744273731289715,0.6264063130419393,2.0,0.5,0.15,5.0
0.11249999999999999,0.50125,0.041744273731289715,0.689285211402123,2.0,0.5,0.15,5.0
0.11249999999999999,0.53,0.041744273731289715,0.7489968905949634,2.0,0.5,0.15,5.0
0.11249999999999999,0.55875,0.041744273731289715,0.8031911197483117,2.0,0.5,0.15,5.0
0.11249999999999999,0.5874999999999999,0.041744273731289715,0.8502065853230385,2.0,0.5,0.15,5.0
0.11249999999999999,0.61625,0.041744273731289715,0.8892545664382339,2.0,0.5,0.15,5.0
0.11249999999999999,0.645,0.041744273731289715,0.9203831980839806,2.0,0.5,0.15,5.0
0.11249999999999999,0.67375,0.041744273731289715,0.9442779491345873,2.0,0.5,0.15,5.0
0.11249999999999999,0.7024999999999999,0.041744273731289715,0.9619969271857791,2.0,0.5,0.15,5.0
0.11249999999999999,0.73125,0.041744273731289715,0.9747275229505237,2.0,0.5,0.15,5.0
0.11249999999999999,0.76,0.041744273731289715,0.9836106815213036,2.0,0.5,0.15,5.0
0.11249999999999999,0.78875,0.041744273731289715,0.9896407214644687,2.0,0.5,0.15,5.0
0.11249999999999999,0.8174999999999999,0.041744273731289715,0.9936263169186242,2.0,0.5,0.15,5.0
0.11249999999999999,0.84625,0.041744273731289715,0.9961915021283869,2.0,0.5,0.15,5.0
0.11249999999999999,0.875,0.041744273731289715,0.9977979217382319,2.0,0.5,0.15,5.0
0.11249999999999999,0.90375,0.041744273731289715,0.9987751094487219,2.0,0.5,0.15,5.0
0.11249999999999999,0.9324999999999999,0.041744273731289715,0.9993509694886633,2.0,0.5,0.15,5.0
0.11249999999999999,0.9612499999999999,0.041744273731289715,0.9996786778091856,2.0,0.5,0.15,5.0
0.11249999999999999,0.99,0.041744273731289715,0.9998594760838524,2.0,0.5,0.15,5.0
0.15,0.3,0.042551963944577775,0.3091018656550243,2.0,0.5,0.15,5.0
0.15,0.32875,0.042551963944577775,0.34774880918591533,2.0,0.5,0.15,5.0
0.15,0.3575,0.042551963944577775,0.3929733167101269,2.0,0.5,0.15,5.0
0.15,0.38625,0.042551963944577775,0.44455263748230917,2.0,0.5,0.15,5.0
0.15,0.415,0.042551963944577775,0.5017165401840006,2.0,0.5,0.15,5.0
0.15,0.44375,0.042551963944577775,0.56303084497738,2.0,0.5,0.15,5.0
0.15,0.4725,0.042551963944577775,0.6264063130419393,2.0,0.5,0.15,5.0
0.15,0.50125,0.042551963944577775,0.689285211402123,2.0,0.5,0.15,5.0
0.15,0.53,0.042551963944577775,0.7489968905949634,2.0,0.5,0.15,5.0
0.15,0.55875,0.042551963944577775,0.8031911197483117,2.0,0.5,0.15,5.0
0.15,0.5874999999999999,0.042551963944577775,0.8502065853230385,2.0,0.5,0.15,5.0
0.15,0.61625,0.042551963944577775,0.8892545664382339,2.0,0.5,0.15,5.0
0.15,0.645,0.042551963944577775,0.9203831980839806,2.0,0.5,0.15,5.0
0.15,0.67375,0.042551963944577775,0.9442779491345873,2.0,0.5,0.15,5.0
0.15,0.7024999999999999,0.042551963944577775,0.9619969271857791,2.0,0.5,0.15,5.0
0.15,0.73125,0.042551963944577775,0.9747275229505237,2.0,0.5,0.15,5.0
0.15,0.76,0.042551963944577775,0.9836106815213036,2.0,0.5,0.15,5.0
0.15,0.78875,0.042551963944577775,0.9896407214644687,2.0,0.5,0.15,5.0
0.15,0.8174999999999999,0.042551963944577775,0.9936263169186242,2.0,0.5,0.15,5.0
0.15,0.84625,0.042551963944577775,0.9961915021283869,2.0,0.5,0.15,5.0
0.15,0.875,0.042551963944577775,0.9977979217382319,2.0,0.5,0.15,5.0
0.15,0.90375,0.042551963944577775,0.9987751094487219,2.0,0.5,0.15,5.0
0.15,0.9324999999999999,0.042551963944577775,0.9993509694886633,2.0,0.5,0.15,5.0
0.15,0.9612499999999999,0.042551963944577775,0.9996786778091856,2.0,0.5,0.15,5.0
0.15,0.99,0.042551963944577775,0.9998594760838524,2.0,0.5,0.15,5.0
0.1875,0.3,0.045743280532822665,0.3091018656550243,2.0,0.5,0.15,5.0
0.1875,0.32875,0.045743280532822665,0.34774880918591533,2.0,0.5,0.15,5.0
0.1875,0.3575,0.045743280532822665,0.3929733167101269,2.0,0.5,0.15,5.0
0.1875,0.38625,0.045743280532822665,0.44455263748230917,2.0,0.5,0.15,5.0
0.1875,0.415,0.045743280532822665,0.5017165401840006,2.0,0.5,0.15,5.0
0.1875,0.44375,0.045743280532822665,0.56303084497738,2.0,0.5,0.15,5.0
0.1875,0.4725,0.045743280532822665,0.6264063130419393,2.0,0.5,0.15,5.0
0.1875,0.50125,0.045743280532822665,0.689285211402123,2.0,0.5,0.15,5.0
0.1875,0.53,0.045743280532822665,0.7489968905949634,2.0,0.5,0.15,5.0
0.1875,0.55875,0.045743280532822665,0.8031911197483117,2.0,0.5,0.15,5.0
0.1875,0.5874999999999999,0.045743280532822665,0.8502065853230385,2.0,0.5,0.15,5.0
0.1875,0.61625,0.045743280532822665,0.8892545664382339,2.0,0.5,0.15,5.0
0.1875,0.645,0.045743280532822665,0.9203831980839806,2.0,0.5,0.15,5.0
0.1875,0.67375,0.045743280532822665,0.9442779491345873,2.0,0.5,0.15,5.0
0.1875,0.7024999999999999,0.045743280532822665,0.9619969271857791,2.0,0.5,0.15,5.0
0.1875,0.73125,0.045743280532822665,0.9747275229505237,2.0,0.5,0.15,5.0
0.1875,0.76,0.045743280532822665,0.9836106815213036,2.0,0.5,0.15,5.0
0.1875,0.78875,0.045743280532822665,0.9896407214644687,2.0,0.5,0.15,5.0
0.1875,0.8174999999999999,0.045743280532822665,0.9936263169186242,2.0,0.5,0.15,5.0
0.1875,0.84625,0.045743280532822665,0.9961915021283869,2.0,0.5,0.15,5.0
0.1875,0.875,0.045743280532822665,0.9977979217382319,2.0,0.5,0.15,5.0
0.1875,0.90375,0.045743280532822665,0.9987751094487219,2.0,0.5,0.15,5.0
0.1875,0.9324999999999999,0.045743280532822665,0.9993509694886633,2.0,0.5,0.15,5.0
0.1875,0.9612499999999999,0.045743280532822665,0.9996786778091856,2.0,0.5,0.15,5.0
0.1875,0.99,0.045743280532822665,0.9998594760838524,2.0,0.5,0.15,5.0
0.22499999999999998,0.3,0.05137708062237392,0.3091018656550243,2.0,0.5,0.15,5.0
0.22499999999999998,0.32875,0.05137708062237392,0.34774880918591533,2.0,0.5,0.15,5.0
0.22499999999999998,0.3575,0.05137708062237392,0.3929733167101269,2.0,0.5,0.15,5.0
0.22499999999999998,0.38625,0.05137708062237392,0.44455263748230917,2.0,0.5,0.15,5.0
0.22499999999999998,0.415,0.05137708062237392,0.5017165401840006,2.0,0.5,0.15,5.0
0.22499999999999998,0.44375,0.05137708062237392,0.56303084497738,2.0,0.5,0.15,5.0
0.22499999999999998,0.4725,0.05137708062237392,0.6264063130419393,2.0,0.5,0.15,5.0
0.22499999999999998,0.50125,0.05137708062237392,0.689285211402123,2.0,0.5,0.15,5.0
0.22499999999999998,0.53,0.05137708062237392,0.7489968905949634,2.0,0.5,0.15,5.0
0.22499999999999998,0.55875,0.05137708062237392,0.8031911197483117,2.0,0.5,0.15,5.0
0.22499999999999998,0.5874999999999999,0.05137708062237392,0.8502065853230385,2.0,0.5,0.15,5.0
0.22499999999999998,0.61625,0.05137708062237392,0.8892545664382339,2.0,0.5,0.15,5.0
0.22499999999999998,0.645,0.05137708062237392,0.9203831980839806,2.0,0.5,0.15,5.0
0.22499999999999998,0.67375,0.05137708062237392,0.9442779491345873,2.0,0.5,0.15,5.0
0.22499999999999998,0.7024999999999999,0.05137708062237392,0.9619969271857791,2.0,0.5,0.15,5.0
0.22499999999999998,0.73125,0.05137708062237392,0.9747275229505237,2.0,0.5,0.15,5.0
0.22499999999999998,0.76,0.05137708062237392,0.9836106815213036,2.0,0.5,0.15,5.0
0.22499999999999998,0.78875,0.05137708062237392,0.9896407214644687,2.0,0.5,0.15,5.0
0.22499999999999998,0.8174999999999999,0.05137708062237392,0.9936263169186242,2.0,0.5,0.15,5.0
0.22499999999999998,0.84625,0.05137708062237392,0.9961915021283869,2.0,0.5,0.15,5.0
0.22499999999999998,0.875,0.05137708062237392,0.9977979217382319,2.0,0.5,0.15,5.0
0.22499999999999998,0.90375,0.05137708062237392,0.9987751094487219,2.0,0.5,0.15,5.0
0.22499999999999998,0.9324999999999999,0.05137708062237392,0.9993509694886633,2.0,0.5,0.15,5.0
0.22499999999999998,0.9612499999999999,0.05137708062237392,0.9996786778091856,2.0,0.5,0.15,5.0
0.22499999999999998,0.99,0.05137708062237392,0.9998594760838524,2.0,0.5,0.15,5.0
0.2625,0.3,0.05990177937120187,0.3091018656550243,2.0,0.5,0.15,5.0
0.2625,0.32875,0.05990177937120187,0.34774880918591533,2.0,0.5,0.15,5.0
0.2625,0.3575,0.05990177937120187,0.3929733167101269,2.0,0.5,0.15,5.0
0.2625,0.38625,0.05990177937120187,0.44455263748230917,2.0,0.5,0.15,5.0
0.2625,0.415,0.05990177937120187,0.5017165401840006,2.0,0.5,0.15,5.0
0.2625,0.44375,0.05990177937120187,0.56303084497738,2.0,0.5,0.15,5.0
0.2625,0.4725,0.05990177937120187,0.6264063130419393,2.0,0.5,0.15,5.0
0.2625,0.50125,0.05990177937120187,0.689285211402123,2.0,0.5,0.15,5.0
0.2625,0.53,0.05990177937120187,0.7489968905949634,2.0,0.5,0.15,5.0
0.2625,0.55875,0.05990177937120187,0.8031911197483117,2.0,0.5,0.15,5.0
0.2625,0.5874999999999999,0.05990177937120187,0.8502065853230385,2.0,0.5,0.15,5.0
0.2625,0.61625,0.05990177937120187,0.8892545664382339,2.0,0.5,0.15,5.0
0.2625,0.645,0.05990177937120187,0.9203831980839806,2.0,0.5,0.15,5.0
0.2625,0.67375,0.05990177937120187,0.9442779491345873,2.0,0.5,0.15,5.0
0.2625,0.7024999999999999,0.05990177937120187,0.9619969271857791,2.0,0.5,0.15,5.0
0.2625,0.73125,0.05990177937120187,0.9747275229505237,2.0,0.5,0.15,5.0
0.2625,0.76,0.05990177937120187,0.9836106815213036,2.0,0.5,0.15,5.0
0.2625,0.78875,0.05990177937120187,0.9896407214644687,2.0,0.5,0.15,5.0
0.2625,0.8174999999999999,0.05990177937120187,0.9936263169186242,2.0,0.5,0.15,5.0
0.2625,0.84625,0.05990177937120187,0.9961915021283869,2.0,0.5,0.15,5.0
0.2625,0.875,0.05990177937120187,0.9977979217382319,2.0,0.5,0.15,5.0
0.2625,0.90375,0.05990177937120187,0.9987751094487219,2.0,0.5,0.15,5.0
0.2625,0.9324999999999999,0.05990177937120187,0.9993509694886633,2.0,0.5,0.15,5.0
0.2625,0.9612499999999999,0.05990177937120187,0.9996786778091856,2.0,0.5,0.15,5.0
0.2625,0.99,0.05990177937120187,0.9998594760838524,2.0,0.5,0.15,5.0
0.3,0.3,0.07213669836533564,0.3091018656550243,2.0,0.5,0.15,5.0
0.3,0.32875,0.07213669836533564,0.34774880918591533,2.0,0.5,0.15,5.0
0.3,0.3575,0.07213669836533564,0.3929733167101269,2.0,0.5,0.15,5.0
0.3,0.38625,0.07213669836533564,0.44455263748230917,2.0,0.5,0.15,5.0
0.3,0.415,0.07213669836533564,0.5017165401840006,2.0,0.5,0.15,5.0
